,home_points,away_points
0,111,117
1,126,131
2,129,112
3,116,105
4,91,123
5,115,105
6,106,134
7,124,129
8,103,100
9,119,121
10,124,115
11,83,102
12,101,115
13,127,135
14,137,129
15,104,90
16,122,118
17,111,102
18,110,119
19,137,96
20,132,88
21,103,127
22,119,91
23,110,101
24,127,112
25,114,127
26,125,108
27,116,120
28,111,104
29,102,123
30,117,89
31,121,109
32,86,112
33,111,100
35,106,104
36,127,118
37,126,104
38,98,107
39,106,127
40,101,122
41,128,102
42,128,123
43,97,117
44,111,98
45,103,116
46,151,131
47,115,127
48,129,108
49,108,120
50,112,101
51,95,111
52,123,111
53,118,111
54,106,126
55,119,98
56,134,137
57,97,108
58,133,86
59,85,93
60,105,89
61,108,100
62,116,123
64,106,109
66,111,131
67,107,106
68,102,106
69,122,138
70,116,106
71,106,103
72,110,102
73,117,110
74,142,94
75,143,101
76,123,137
77,99,114
78,113,120
79,100,114
80,97,118
81,121,114
82,130,84
83,106,110
84,111,122
85,118,122
87,103,109
88,98,117
89,110,107
90,102,98
91,121,141
92,108,95
93,106,101
95,120,123
96,118,110
97,106,107
98,114,129
99,109,91
100,97,124
101,123,127
102,120,112
103,107,110
104,125,133
105,112,107
106,97,107
107,104,133
108,128,121
109,123,100
110,103,112
111,107,121
112,119,118
113,100,116
114,119,123
115,130,111
116,106,122
117,111,107
118,139,123
120,126,118
121,91,111
122,109,107
124,126,123
125,116,112
126,158,159
127,123,116
128,129,100
129,100,107
131,94,117
132,116,122
133,102,93
135,105,125
136,132,108
137,105,95
138,122,119
140,117,108
141,158,111
142,135,133
143,109,119
144,115,109
145,118,119
146,110,116
147,107,130
148,107,115
150,117,122
151,125,139
152,104,113
153,116,104
154,108,98
156,130,104
157,118,108
158,115,122
159,113,92
160,139,109
161,121,110
162,107,117
163,115,124
164,107,112
165,121,105
166,124,131
168,117,126
169,125,112
171,117,109
172,125,110
173,111,121
174,127,91
175,113,114
177,105,135
178,110,120
179,123,112
180,140,112
181,110,111
182,125,123
183,100,108
184,112,122
186,113,110
187,99,102
188,128,129
190,107,101
191,115,119
192,124,113
193,107,99
194,106,114
195,116,121
197,115,104
199,110,104
201,136,119
202,107,103
203,117,97
204,127,116
205,113,136
206,96,108
207,115,87
208,114,99
210,122,112
211,118,103
212,113,106
213,94,102
214,121,115
215,120,128
217,117,93
218,103,122
219,122,111
220,99,101
221,116,102
223,115,112
226,119,106
227,129,124
229,139,129
231,119,127
232,124,107
233,127,99
234,125,117
235,117,114
237,138,117
239,115,128
240,107,104
241,106,118
242,106,100
243,129,117
245,100,117
246,103,99
247,103,105
248,112,97
249,97,106
251,93,113
252,109,121
254,121,125
255,128,112
256,150,101
257,122,101
259,128,103
260,116,119
261,113,125
263,105,104
265,104,79
266,118,130
267,107,122
268,135,121
269,136,102
270,100,110
271,96,101
272,143,120
273,106,111
275,121,118
277,116,81
278,93,101
279,109,106
280,116,111
281,115,123
283,111,101
284,108,86
285,123,110
286,120,121
287,103,136
289,102,95
290,140,111
291,152,133
292,130,114
293,127,117
296,120,127
298,140,135
299,135,126
300,127,105
304,120,130
305,141,118
307,88,127
308,112,102
309,122,141
310,130,122
311,111,96
312,110,96
313,103,97
314,105,94
317,98,88
319,132,127
321,90,88
324,134,109
327,107,97
328,150,125
331,119,135
332,99,110
333,92,112
334,117,124
336,120,99
338,109,134
339,118,112
341,107,120
342,87,105
343,126,112
344,114,140
345,135,132
346,109,100
347,114,104
349,122,95
350,130,133
354,97,112
355,103,124
356,118,106
357,108,105
358,128,111
359,142,115
360,92,133
361,110,103
362,141,133
364,124,97
365,92,102
366,132,103
367,136,130
371,123,134
372,122,107
374,135,125
375,104,122
376,110,115
379,109,94
382,121,124
383,128,120
385,110,114
386,109,104
387,104,107
389,132,139
393,116,109
394,119,130
395,101,108
396,99,107
397,106,102
399,100,112
400,120,98
402,123,113
403,115,117
404,126,128
405,123,108
406,111,123
407,140,105
408,110,117
409,138,132
411,116,126
412,117,121
413,106,113
415,111,125
416,139,111
419,119,125
422,118,123
425,118,109
427,114,122
428,120,101
429,102,110
430,134,133
431,120,91
432,105,114
434,137,121
435,118,86
437,109,113
438,117,119
440,114,131
441,95,114
442,108,109
443,126,114
445,94,103
447,104,117
448,106,99
451,108,115
455,126,122
456,114,107
457,119,115
458,115,145
459,97,110
460,119,110
461,117,104
464,114,121
465,119,112
466,134,121
467,122,102
469,113,109
471,119,95
472,112,125
473,114,109
474,104,96
477,96,82
479,119,107
480,99,106
482,129,125
483,117,105
486,101,104
487,105,88
495,109,89
496,108,124
497,95,80
501,124,100
502,108,116
503,113,86
504,117,100
506,122,105
508,110,121
509,112,93
510,112,103
511,110,105
513,110,113
516,104,108
517,129,114
519,113,112
520,117,116
521,123,105
522,84,76
523,105,85
525,108,122
526,117,113
527,124,121
530,107,102
531,118,113
532,134,129
535,101,109
536,89,102
537,137,106
539,105,97
541,101,113
542,116,101
544,124,105
545,125,119
546,126,129
548,116,113
551,85,97
552,124,122
554,109,131
555,115,99
556,121,106
557,100,113
558,140,133
559,116,137
560,125,121
562,125,118
565,132,140
566,125,103
569,119,113
574,119,133
575,109,110
578,115,121
579,132,102
584,128,114
585,99,94
586,123,89
588,116,127
589,115,106
593,112,124
596,121,107
597,113,107
598,117,125
602,96,114
603,108,113
604,126,117
606,110,106
607,129,119
608,110,124
609,124,95
610,108,107
612,95,96
617,138,112
620,85,99
621,120,116
623,98,100
627,104,109
631,125,109
636,126,108
638,111,113
639,105,96
640,110,112
642,117,107
645,103,114
646,98,94
647,100,92
649,98,121
651,118,120
652,87,112
653,99,103
656,107,111
658,119,97
659,116,108
661,108,117
662,125,100
663,112,106
664,118,101
665,104,112
669,99,115
672,84,108
673,104,95
674,125,113
676,124,120
682,132,96
683,113,97
685,101,96
686,126,98
687,83,90
688,130,110
692,92,93
695,133,113
696,99,112
699,120,115
700,102,118
701,97,113
702,97,98
705,102,121
708,104,105
709,121,130
713,107,95
714,112,118
717,109,115
718,92,105
719,129,102
721,106,115
723,137,126
724,101,91
726,127,81
728,96,99
729,133,118
731,95,86
735,96,103
740,120,94
741,99,97
744,127,130
746,104,114
750,96,105
751,96,121
753,142,125
754,87,96
757,105,102
759,104,128
766,117,87
768,110,125
769,128,99
772,139,107
773,92,100
774,113,128
775,108,91
777,113,129
780,120,125
784,114,112
786,86,116
789,100,95
791,113,81
794,102,101
799,119,114
801,102,112
802,95,103
806,121,102
809,103,94
812,90,104
814,114,106
815,109,102
817,107,114
821,104,81
822,98,102
823,96,109
825,128,104
826,109,92
828,107,118
830,123,101
831,118,88
832,96,129
835,127,120
838,95,98
848,113,126
849,107,93
851,95,118
853,104,102
854,113,119
855,87,108
856,115,135
859,100,105
860,100,99
863,96,92
864,103,102
870,110,88
871,122,117
874,114,93
875,119,93
879,92,109
881,104,111
884,109,98
886,113,101
892,98,109
895,119,104
896,116,95
898,116,100
900,111,112
903,117,127
909,110,99
910,96,94
911,108,118
914,122,120
917,102,109
918,111,85
921,86,115
922,111,106
926,119,116
929,108,101
930,103,104
934,107,85
936,119,105
941,115,97
942,116,124
944,104,115
946,105,116
947,101,95
948,99,104
949,116,114
953,118,129
956,85,92
961,105,106
963,98,106
965,119,80
968,111,116
979,114,120
985,103,88
988,132,98
989,94,127
998,107,119
999,109,125
1001,136,109
1006,113,115
1007,112,115
1008,99,108
1013,127,106
1016,100,115
1017,125,115
1023,92,95
1024,76,87
1028,115,98
1031,126,127
1032,99,121
1034,117,95
1051,139,127
1059,113,104
1061,88,94
1062,122,115
1064,99,84
1065,103,118
1077,129,133
1085,128,116
1088,136,125
1090,120,111
1094,110,127
1097,121,112
1101,111,109
1113,109,117
1116,118,105
1135,110,109
1137,114,90
1145,131,103
1147,114,113
1151,94,101
1154,87,91
1156,100,97
1159,101,93
1167,92,129
1170,97,92
1173,111,105
1186,103,111
1188,100,86
1189,131,134
1218,98,97
1220,127,119
1226,97,91
1227,95,101
1231,141,94
1246,120,113
1250,117,106
1251,100,89
1252,87,90
1264,112,104
1267,108,94
1272,120,92
1276,102,94
1278,114,108
1285,97,100
1293,94,93
1300,102,104
1304,106,121
1318,100,120
1320,109,103
1327,122,124
1328,112,108
1344,116,97
1345,101,103
1346,106,108
1359,82,94
1364,101,89
1374,110,97
1379,129,88
1389,126,125
1392,105,98
1393,117,111
1399,120,102
1405,115,116
1415,73,83
1420,103,95
1432,118,116
1435,81,98
1444,93,103
1450,94,85
1467,104,116
1470,87,93
1477,100,98
1493,86,106
1499,112,131
1500,134,139
1515,111,118
1517,92,113
1536,79,100
1550,112,114
1567,94,112
1591,100,96
1593,106,91
1614,109,95
1636,95,83
1644,102,103
1683,105,103
1736,83,106
